,,,All production,,,,,,Stripping,,,,,,Auger,,,,,
County,State,Year,Total Production,Average Value per Ton,Average Number of Persons Working Daily,Average Number of Days Worked,Number of Person-Days Worked,Average Tons per Person per Day,Number of Strip Pits,Total Production (Stripping),Average Number of Persons Working Daily (Stripping),Average Number of Days Worked (Stripping),Number of Person-Days Worked (Stripping),Average Tons per Person per Day (Stripping),Number of Auger Mines,Total Production (Auger),Average Number of Persons Working Daily (Auger),Average Number of Days Worked (Auger),Number of Person-Days Worked (Auger),Average Tons per Person per Day (Auger)
Taylor,West Virginia,1960,138412,3.76,126,140,17644,7.84,,,,,,,2,43474,12,83,959,45.32
Tucker,West Virginia,1960,259199,3.54,135,137,18509,14.00,4,251800,119,142,16865,14.93,,,,,,
Upshur,West Virginia,1960,1093461,4.29,485,178,86094,12.70,5,52052,39,93,3592,14.49,1,5366,5,100,537,10.00
Wayne,West Virginia,1960,48983,4.68,82,182,14934,3.28,,,,,,,,,,,,
Webster,West Virginia,1960,518280,5.42,345,161,55645,9.31,,,,,,,,,,,,
Wyoming,West Virginia,1960,10683872,5.38,4663,196,910244,11.74,6,558805,151,133,20123,27.77,4,32057,17,100,1652,19.41
"Boone, Gilmer, Grant, Logan, Mason, Mingo ",West Virginia,1960,,,,,,,7,859008,175,209,36585,23.48,,,,,,
"Braxton, Brooke, Clay, Gilmer, Lewis, Mason, Monongalia, Preston",West Virginia,1960,,,,,,,,,,,,,14,459692,114,99,11315,40.63
Bell,Kentucky,1961,1743406,3.99,708,162,114833,15.18,12,636460,113,239,27095,23.49,13,364557,184,61,11203,32.54
Boyd,Kentucky,1961,89708,3.26,65,152,9850,9.11,3,55329,37,100,3689,15.00,,,,,,
Breathitt,Kentucky,1961,555630,5.88,236,214,50556,10.99,1,6000,6,100,600,10.00,,,,,,
Carter,Kentucky,1961,14360,4.63,17,140,2374,6.05,1,4360,4,100,436,10.00,,,,,,
Clay,Kentucky,1961,1372704,3.80,1772,127,224281,6.12,5,107427,46,171,7893,13.61,3,80212,27,150,4011,20.00
Clinton,Kentucky,1961,20362,2.00,40,111,4485,4.54,,,,,,,,,,,,
Elliott,Kentucky,1961,15157,3.98,19,204,3808,3.98,,,,,,,,,,,,
Floyd,Kentucky,1961,3762858,5.82,1999,186,372739,10.10,,,,,,,6,122029,35,100,3487,35.00
Greenup,Kentucky,1961,3016,4.77,3,79,218,13.83,,,,,,,,,,,,
Harlan,Kentucky,1961,3739809,5.19,2242,174,390463,9.58,6,158694,180,205,36906,4.30,7,293435,116,179,20796,14.11
Jackson,Kentucky,1961,69111,4.06,545,49,26755,2.58,3,21958,22,100,2196,10.00,,,,,,
Johnson,Kentucky,1961,183742,3.92,204,109,22191,8.28,,,,,,,,,,,,
Knott,Kentucky,1961,2072206,2.83,1200,131,157213,13.18,5,492695,94,150,14077,35.00,8,163935,259,23,5968,27.47
Knox,Kentucky,1961,256047,3.28,466,69,32182,7.96,2,72353,29,100,2894,25.00,2,76164,25,100,2539,30.00
Laurel,Kentucky,1961,31516,3.69,64,76,4836,6.52,1,3500,3,32,96,36.46,,,,,,
Lawrence,Kentucky,1961,7253,3.73,36,52,1868,3.88,2,4450,9,50,445,10.00,,,,,,
Lee,Kentucky,1961,43385,4.45,48,169,8094,5.36,,,,,,,,,,,,
Leslie,Kentucky,1961,1679676,4.17,1018,182,185709,9.04,1,13226,13,50,661,20.00,2,52107,12,118,1391,37.47
Letcher,Kentucky,1961,4454549,5.38,1986,180,357970,12.44,2,284348,70,190,13269,21.43,4,204204,125,107,13373,15.27
McCreary,Kentucky,1961,474592,3.78,223,225,50136,9.47,1,136051,27,100,2721,50.00,,,,,,
Magoffin,Kentucky,1961,64193,4.42,78,168,13181,4.87,,,,,,,,,,,,
Martin,Kentucky,1961,19156,3.00,66,77,5068,3.78,,,,,,,,,,,,
Morgan,Kentucky,1961,44830,2.99,13,145,1884,23.80,2,41300,7,153,1057,39.06,,,,,,
Owsley,Kentucky,1961,100000,2.00,20,200,4000,25.00,1,100000,20,200,4000,25.00,,,,,,
Perry,Kentucky,1961,3424582,4.36,1689,161,272666,12.56,4,110428,9,95,840,131.53,22,449735,145,117,16984,26.48
Pike,Kentucky,1961,7462493,4.48,3496,166,581796,12.83,3,43600,29,38,1088,40.09,28,618162,164,97,15863,38.97
Pulaski,Kentucky,1961,128643,4.06,122,158,19312,6.66,2,78614,9,268,2410,32.62,,,,,,
Rockcastle,Kentucky,1961,15452,3.58,138,65,8936,1.73,1,8427,128,60,7661,1.10,,,,,,
Wayne,Kentucky,1961,1748,5.86,4,120,466,3.75,,,,,,,,,,,,
Whitley,Kentucky,1961,559338,3.46,579,158,91296,6.13,10,175929,40,182,7258,24.24,,,,,,
Wolfe,Kentucky,1961,10429,4.24,15,147,2200,4.74,,,,,,,,,,,,
Butler,Kentucky,1961,246271,2.97,100,153,15296,16.10,7,210949,53,112,5902,35.74,,,,,,
Christian,Kentucky,1961,85605,6.77,16,242,3875,22.09,1,85605,16,242,3875,22.09,,,,,,
Daviess,Kentucky,1961,1018508,4.53,103,279,28708,35.48,2,967761,78,303,23633,40.95,,,,,,
Grayson,Kentucky,1961,2240,3.29,4,50,224,10.00,1,2240,4,50,224,10.00,,,,,,
Henderson,Kentucky,1961,250368,2.98,131,207,27125,9.23,,,,,,,,,,,,
Hopkins,Kentucky,1961,10497856,3.56,2342,199,466304,22.51,12,3972116,380,245,93002,42.71,1,8285,10,45,450,18.41
McLean,Kentucky,1961,,,,,,,1,77991,11,204,2223,35.09,,,,,,
Muhlenberg,Kentucky,1961,11647036,3.30,1416,226,320703,36.32,10,9775168,690,287,197958,49.38,,,,,,
Ohio,Kentucky,1961,3136378,3.31,245,282,68998,45.46,5,2752561,171,322,54941,50.10,1,116032,11,225,2475,46.88
Webster,Kentucky,1961,1073598,3.01,224,202,45225,23.74,4,1054151,207,216,44800,23.53,2,19447,7,25,425,45.71
"Breathitt, Whitley",Kentucky,1961,,,,,,,4,187873,43,241,10344,18.16,,,,,,
"McLean, Union",Kentucky,1961,2653932,3.97,686,215,147346,18.01,,,,,,,,,,,,
Anderson,Tennessee,1961,1447461,3.95,586,167,97869,14.79,9,285162,52,171,8920,31.97,,,,,,
Campbell,Tennessee,1961,1086875,3.33,895,134,119747,9.08,16,622610,121,196,23755,26.21,4,126890,54,150,8134,15.60
Claiborne,Tennessee,1961,319629,3.19,174,121,21092,15.15,6,180478,27,158,4228,42.69,,,,,,
Fentress,Tennessee,1961,75132,3.01,304,69,20828,3.61,1,5000,5,100,500,10.00,,,,,,
Morgan,Tennessee,1961,326496,3.05,593,192,113599,2.87,8,88740,42,107,4537,19.56,,,,,,
Overton,Tennessee,1961,81662,2.79,125,151,18860,4.33,,,,,,,,,,,,
Scott,Tennessee,1961,467665,3.01,318,119,37779,12.38,10,248494,69,128,8818,28.18,3,42228,21,100,2111,20.00
Bledsoe,Tennessee,1961,26606,3.36,59,123,7256,3.67,1,3780,4,90,360,10.50,,,,,,
Cumberland,Tennessee,1961,27548,3.03,38,122,4633,5.95,1,6248,4,100,398,15.71,,,,,,
Grundy,Tennessee,1961,184998,4.19,61,182,11086,16.69,4,174255,41,228,9389,18.56,,,,,,
Marion,Tennessee,1961,680422,3.24,688,128,88330,7.70,,,,,,,,,,,,
Sequatchie,Tennessee,1961,438515,3.74,405,161,65108,6.74,,,,,,,,,,,,
Van Buren,Tennessee,1961,150186,3.52,190,70,13219,11.36,5,113126,36,111,3954,28.61,,,,,,
"Hamilton, Marion, Sequatchie",Tennessee,1961,,,,,,,4,33277,26,58,1508,22.07,,,,,,
"Anderson, Claiborne, Marion",Tennessee,1961,,,,,,,,,,,,,5,94420,20,106,2111,44.73
"Hamilton, Putnam",Tennessee,1961,490700,3.99,175,186,32580,15.06,,,,,,,,,,,,
Buchanan,Virginia,1961,10949046,3.75,6773,193,1310094,8.36,,,,,,,11,138717,43,105,4499,30.83
Dickenson,Virginia,1961,8438428,4.14,2128,218,464120,18.18,6,152668,31,200,6107,25.00,,,,,,
Lee,Virginia,1961,452944,3.59,404,152,61409,7.38,3,38900,16,115,1793,21.70,3,59713,8,132,1049,56.91
Montgomery,Virginia,1961,12060,3.40,18,131,2417,4.99,,,,,,,,,,,,
Russell,Virginia,1961,1934611,4.73,818,193,158216,12.23,,,,,,,,,,,,
Scott,Virginia,1961,17492,4.36,26,131,3410,5.13,,,,,,,,,,,,
Tazewell,Virginia,1961,933110,5.34,604,220,133054,7.01,,,,,,,6,120524,19,151,2829,42.60
Wise,Virginia,1961,7594604,4.51,3268,214,699387,10.86,22,1102873,138,235,32524,33.91,9,309401,36,213,7766,39.84
"Russel, Tazewell",Virginia,1961,,,,,,,5,117900,16,240,3840,30.70,,,,,,
"Dickenson, Russel",Virginia,1961,,,,,,,,,,,,,5,81753,15,126,1897,43.10
Boone,West Virginia,1961,5196395,4.64,2048,181,369846,14.05,,,,,,,5,175097,64,151,9615,18.21
Lincoln,West Virginia,1961,33250,3.27,16,93,1482,22.44,4,33250,16,93,1482,22.44,,,,,,
Logan,West Virginia,1961,14246989,4.42,5173,205,1058866,13.45,,,,,,,4,202428,37,165,6050,33.46
McDowell,West Virginia,1961,12919266,6.43,5284,199,1053269,12.27,,,,,,,,,,,,
Mingo,West Virginia,1961,5038115,4.99,1822,195,355235,14.18,,,,,,,4,79387,8,193,1545,51.38
Wayne,West Virginia,1961,54027,4.60,87,203,17656,3.06,,,,,,,,,,,,
Wyoming,West Virginia,1961,10354286,5.62,4073,219,892488,11.60,,,,,,,2,14481,8,96,731,19.82
Barbour,West Virginia,1961,3061807,4.38,1152,176,203030,15.08,14,714681,192,124,23751,30.09,2,90675,5,149,762,119.04
Braxton,West Virginia,1961,,,,,,,1,1076,2,100,200,5.38,,,,,,
Brooke,West Virginia,1961,522890,4.25,261,184,48084,10.87,6,193103,64,195,12450,15.51,,,,,,
Clay,West Virginia,1961,,,,,,,,,,,,,1,90632,20,258,5161,17.65
Fayette,West Virginia,1961,4421859,4.68,2740,179,491756,8.99,,,,,,,,,,,,
Gilmer,West Virginia,1961,,,,,,,1,37993,10,45,450,84.30,,,,,,
Grant,West Virginia,1961,65577,3.47,48,218,10471,6.26,5,232308,104,106,10999,21.12,,,,,,
Greenbrier,West Virginia,1961,896482,3.75,590,170,100390,8.93,30,1176388,255,162,41349,28.45,,,,,,
Harrison,West Virginia,1961,6390918,4.34,1917,194,371936,17.18,,,,,,,13,230897,50,131,6554,35.23
Kanawha,West Virginia,1961,9141115,4.35,3108,204,635025,14.39,,,,,,,,,,,,
Lewis,West Virginia,1961,,,,,,,3,410526,103,211,21698,18.92,,,,,,
Mason,West Virginia,1961,447037,3.35,172,233,40069,11.16,1,90541,17,255,4334,20.89,1,8404,2,144,288,29.18
Mercer,West Virginia,1961,847437,6.25,383,190,72837,11.63,3,51553,30,93,2790,18.48,1,3479,2,100,232,15.00
Mineral,West Virginia,1961,,,,,,,1,1320,1,61,61,21.64,,,,,,
Monongalia,West Virginia,1961,5981919,4.88,1374,227,312058,19.17,5,38064,20,57,1142,33.33,1,31704,4,101,404,78.48
Nicholas,West Virginia,1961,4922350,4.72,2393,199,476076,10.34,3,73468,10,247,2355,31.19,,,,,,
Pocahontas,West Virginia,1961,239044,3.76,112,203,22698,10.53,1,17396,12,100,1160,15.00,1,5403,3,174,523,10.33
Preston,West Virginia,1961,2588762,3.37,1442,190,237629,9.46,30,854235,144,260,37319,22.89,2,54582,5,205,1024,53.30
Putnam,West Virginia,1961,81227,4.35,53,179,9491,8.56,,,,,,,1,2000,4,15,60,33.33
Raleigh,West Virginia,1961,6597329,5.40,3234,195,630908,10.46,,,,,,,,,,,,
Randolph,West Virginia,1961,1146093,4.37,546,203,110715,3.06,7,172939,49,199,9765,17.71,,,,,,
Taylor,West Virginia,1961,200870,3.37,145,167,24171,8.31,,,,,,,,,,,,
Upshur,West Virginia,1961,1177704,4.44,439,206,90437,13.02,4,85502,39,122,4774,17.91,,,,,,
Webster,West Virginia,1961,820344,4.77,451,185,83658,9.81,1,16017,15,222,3386,4.73,,,,,,
"Braxton, Clay, Gilmer, Lewis, Marion, Marshall, Mineral, Ohio, Tucker",West Virginia,1961,15677356,4.94,4548,209,949588,16.51,,,,,,,,,,,,
"Brooke, Fayette, Gilmer, Kanawha, Lewis, McDowell, Mineral, Nicholas, Raleigh",West Virginia,1961,,,,,,,,,,,,,33,1616025,271,155,42024,38.85
"Boone, Fayette, Grant, Kanawha, Marion, McDowell, Putnam, Raleigh, Taylor, Tucker, Wyoming",West Virginia,1961,,,,,,,34,1659783,415,172,71408,23.24,,,,,,
Bell,Kentucky,1962,1848368,3.96,826,139,115179,16.05,12,432697,79,147,11654,37.13,15,16,129,60,7734,73.18
Boyd,Kentucky,1962,56149,2.81,51,135,6879,8.16,1,32492,22,100,2166,15.00,,,,,,
Breathitt,Kentucky,1962,602521,5.83,253,202,51104,11.79,1,45000,30,100,3000,15.00,,,,,,
Carter,Kentucky,1962,24432,5.00,36,122,4394,5.56,,,,,,,,,,,,
Clay,Kentucky,1962,1065391,3.83,994,172,170721,6.24,2,37307,13,104,1315,28.38,2,1,9,143,1284,29.48
Clinton,Kentucky,1962,5301,4.77,14,105,1468,3.61,1,2408,2,100,241,10.00,,,,,,
Elliott,Kentucky,1962,15989,3.44,19,191,1616,4.40,,,,,,,3,2,17,115,1988,24.64
Floyd,Kentucky,1962,3746688,5.48,1863,185,345321,10.85,6,121412,34,124,4208,28.85,13,13,86,93,7959,42.72
Harlan,Kentucky,1962,5528165,5.20,2673,185,494716,11.17,1,15000,8,180,1440,10.42,,,,,,
Jackson,Kentucky,1962,27369,4.98,78,77,6021,4.55,4,273762,52,150,7822,35.00,4,4,139,100,13933,30.00
Johnson,Kentucky,1962,179992,3.35,253,83,21027,8.56,,,,,,,,,,,,
Knott,Kentucky,1962,1968636,3.17,1209,124,150084,13.12,1,67620,20,233,4651,14.54,1,2,3,200,600,112.10
Knox,Kentucky,1962,279893,3.34,157,140,22016,12.71,4,64953,31,76,2368,27.43,1,1,13,100,1300,20.00
Laurel,Kentucky,1962,107286,3.54,76,97,7380,14.54,1,6080,12,50,608,10.00,,,,,,
Lawrence,Kentucky,1962,16793,4.04,23,138,3165,5.31,2,224953,44,189,8237,27.31,14,15,110,166,18259,27.74
Lee,Kentucky,1962,49889,4.06,57,174,9938,5.02,,,,,,,,,,,,
Leslie,Kentucky,1962,1805170,3.84,925,200,184956,9.76,,,,,,,,,,,,
Letcher,Kentucky,1962,5064122,5.01,2111,186,392430,12.90,1,49886,20,131,2620,19.04,,,,,,
McCreary,Kentucky,1962,360322,3.52,209,192,40203,8.96,1,39611,7,141,990,40.00,,,,,,
Magoffin,Kentucky,1962,44419,3.00,59,150,8884,5.00,,,,,,,,,,,,
Martin,Kentucky,1962,68550,4.56,49,200,9793,7.00,,,,,,,,,,,,
Morgan,Kentucky,1962,39611,4.00,7,141,990,40.00,,,,,,,,,,,,
Owsley,Kentucky,1962,2400,4.56,6,10,600,4.00,,,,,,,,,,,,
Perry,Kentucky,1962,3474150,4.18,1580,180,284230,12.22,5,102000,41,100,4080,25.00,13,13,406,115,46713,15.27
Pike,Kentucky,1962,9946417,3.78,4386,173,757041,13.14,5,252565,42,150,6314,40.00,34,35,308,79,24295,34.52
Pulaski,Kentucky,1962,88300,4.37,46,188,8653,10.20,3,67800,11,269,2959,22.91,,,,,,
Rockcastle,Kentucky,1962,10000,3.30,20,110,2201,4.54,1,8000,16,100,1600,5.00,,,,,,
Wayne,Kentucky,1962,1800,4.51,5,90,450,4.00,,,,,,,,,,,,
Whitley,Kentucky,1962,718471,3.83,350,168,58660,12.25,5,363035,35,232,8134,44.63,2,3,11,176,1907,87.19
Wolfe,Kentucky,1962,10548,5.00,21,123,2573,4.10,,,,,,,,,,,,
Butler,Kentucky,1962,183547,4.16,69,192,13230,13.87,4,144826,21,172,3550,40.80,,,,,,
Christian,Kentucky,1962,69799,5.19,18,282,5076,13.75,1,69799,18,282,5076,13.75,,,,,,
Daviess,Kentucky,1962,1062050,2.61,98,275,26952,39.41,2,1021983,78,294,22945,44.54,,,,,,
Grayson,Kentucky,1962,1600,3.48,3,50,160,10.00,1,1600,3,50,160,10.00,,,,,,
Hancock,Kentucky,1962,3205,3.48,3,100,321,10.00,1,3205,3,100,321,10.00,,,,,,
Henderson,Kentucky,1962,278109,2.96,119,197,23410,11.88,,,,,,,,,,,,
Hopkins,Kentucky,1962,10330308,3.50,2032,233,472893,21.84,9,3725017,332,254,84391,44.14,1,1,5,50,250,20.00
McLean,Kentucky,1962,73638,2.87,37,100,3682,20.00,1,73638,37,100,3682,20.00,,,,,,
Muhlenberg,Kentucky,1962,13646757,3.28,1379,256,352505,38.71,13,11839226,823,287,236265,50.11,,,,,,
Ohio,Kentucky,1962,3238664,3.31,286,261,74567,43.43,7,2759153,199,306,60761,45.41,1,1,16,200,3283,50.00
Union,Kentucky,1962,2563902,3.94,598,230,137475,18.65,,,,,,,,,,,,
Webster,Kentucky,1962,603298,2.72,78,227,17726,34.03,4,593301,61,273,16675,35.58,1,1,4,50,190,40.00
Anderson,Tennessee,1962,1589141,3.74,550,180,98828,16.08,6,418000,47,216,10104,41.37,3,2,7,206,1414,38.50
Bledsoe,Tennessee,1962,20894,3.47,48,118,6578,3.68,,,,,,,,,,,,
Campbell,Tennessee,1962,1336977,3.45,680,147,99824,13.39,17,837887,160,197,31440,26.65,4,4,44,50,2195,25.04
Claiborne,Tennessee,1962,380737,3.38,199,113,22417,16.98,5,215530,32,161,5172,41.67,2,2,19,135,2550,29.63
Cumberland,Tennessee,1962,34564,4.00,30,191,5742,6.02,,,,,,,,,,,,
Fentress,Tennessee,1962,92024,3.00,302,108,32633,2.82,,,,,,,,,,,,
Grundy,Tennessee,1962,192162,4.14,45,214,9611,19.99,2,174662,28,257,7191,24.29,,,,,,
Hamilton,Tennessee,1962,31778,3.41,44,139,6122,5.19,1,15595,16,141,2260,6.90,,,,,,
Marion,Tennessee,1962,642831,4.37,701,104,72690,8.84,2,59592,12,252,3091,19.28,,,,,,
Morgan,Tennessee,1962,317991,3.47,498,212,105803,3.01,5,109847,21,178,3722,29.12,,,,,,
Overton,Tennessee,1962,74942,2.78,149,127,18973,3.95,,,,,,,,,,,,
Pickett,Tennessee,1962,4000,4.00,8,50,400,10.00,1,4000,8,50,400,10.00,,,,,,
Putnam,Tennessee,1962,485318,3.85,106,237,25146,19.30,,,,,,,,,,,,
Rhea,Tennessee,1962,27656,3.39,40,104,4146,6.67,,,,,,,,,,,,
Scott,Tennessee,1962,484490,3.07,206,156,32186,15.05,10,257180,56,140,7791,33.01,1,1,4,201,804,40.65
Sequatchie,Tennessee,1962,288793,3.25,474,111,52603,5.49,,,,,,,,,,,,
Van Buren,Tennessee,1962,209313,3.79,100,121,12065,17.35,5,182940,51,131,6726,27.20,,,,,,
Buchanan,Virginia,1962,11996910,3.77,6714,201,1346244,8.91,6,134806,45,150,6740,20.00,12,12,50,182,9046,36.91
Dickenson,Virginia,1962,8356129,4.20,2245,222,499200,16.74,8,483749,48,173,8339,58.01,,,,,,
Lee,Virginia,1962,453182,3.68,445,146,64839,6.99,,,,,,,,,,,,
Montgomery,Virginia,1962,11008,3.91,19,120,2279,4.83,,,,,,,,,,,,
Russell,Virginia,1962,2023524,4.68,749,219,164346,12.31,6,107510,36,197,5181,20.75,3,4,5,224,1140,42.26
Scott,Virginia,1962,12244,4.97,19,138,2616,4.68,,,,,,,,,,,,
Tazewell,Virginia,1962,460182,3.26,248,215,53209,8.64,,,,,,,4,4,17,187,3181,42.88
Wise,Virginia,1962,6161144,3.98,2568,222,571047,10.79,20,1002706,142,221,31435,31.88,10,11,41,188,7762,37.64
"Lee, Tazewell",Virginia,1962,,,,,,,4,63702,11,189,2083,30.58,,,,,,
"Dickenson, Lee",Virginia,1962,,,,,,,,,,,,,4,4,34,184,6254,38.86
Barbour,West Virginia,1962,3054191,4.32,1025,192,197250,15.48,8,619004,144,179,25706,24.08,,,,,,
Boone,West Virginia,1962,5934131,4.54,2004,190,381089,15.57,1,302881,67,230,15429,19.63,9,10,85,140,11899,39.49
Brooke,West Virginia,1962,734010,3.61,265,202,53529,13.57,6,310405,82,180,14718,21.09,,,,,,
Clay,West Virginia,1962,826835,4.56,328,210,68799,13.71,,,,,,,1,1,14,185,2590,17.85
Fayette,West Virginia,1962,4795493,4.66,2578,189,487549,12.02,,,,,,,6,7,18,160,2806,36.17
Gilmer,West Virginia,1962,1025330,4.23,316,208,65668,9.84,2,3413,4,133,532,6.42,3,2,9,133,1200,37.48
Greenbrier,West Virginia,1962,453810,4.30,342,163,55810,15.61,3,38339,22,98,2158,17.77,,,,,,
Harrison,West Virginia,1962,6472457,4.20,1982,185,366248,8.13,23,1355497,294,176,51757,26.21,7,9,61,140,8590,34.48
Kanawha,West Virginia,1962,10583494,4.17,3167,202,640441,17.67,7,335410,67,127,8506,39.43,12,12,131,201,26320,47.44
Lewis,West Virginia,1962,295534,3.32,112,185,20677,16.53,4,232162,84,190,16044,14.47,4,4,15,94,1419,36.60
Lincoln,West Virginia,1962,32900,3.33,21,78,1648,14.29,4,32900,21,78,1648,19.96,,,,,,
Logan,West Virginia,1962,15527307,4.35,5041,223,1122073,19.96,,,,,,,9,10,76,81,6184,45.46
Marion,West Virginia,1962,9150355,5.34,2549,208,530694,17.24,2,36463,17,86,1432,25.46,,,,,,
Mason,West Virginia,1962,454157,3.20,206,221,45423,10.00,3,95458,27,148,3997,23.88,1,1,2,134,268,29.99
McDowell,West Virginia,1962,13762179,6.42,5629,194,1092215,12.60,7,471142,101,169,17083,27.58,7,8,28,97,2703,56.89
Mercer,West Virginia,1962,959453,6.26,691,136,93883,10.22,4,152416,41,160,6578,23.17,8,6,18,42,753,18.89
Mingo,West Virginia,1962,5432292,4.93,1964,188,369968,14.68,,,,,,,9,4,34,96,3268,67.77
Monongalia,West Virginia,1962,5820182,4.84,1266,223,281730,20.66,3,73450,13,212,2753,26.68,2,2,10,44,435,39.37
Nicholas,West Virginia,1962,5767764,4.96,2611,200,522379,11.04,5,132625,32,164,5242,25.30,6,8,37,169,6250,31.07
Pocahontas,West Virginia,1962,385553,3.65,180,159,28591,13.49,,,,,,,1,1,4,149,596,10.29
Preston,West Virginia,1962,2998435,3.68,1405,218,305715,9.81,19,729339,132,259,34145,21.36,5,6,32,33,1040,21.50
Putnam,West Virginia,1962,74731,4.96,41,186,7629,9.80,,,,,,,,,,,,
Raleigh,West Virginia,1962,6320635,5.50,3117,192,598703,10.56,6,257803,75,141,10640,24.23,2,2,8,80,639,11.81
Randolph,West Virginia,1962,719614,4.12,524,158,82637,8.71,5,41376,15,121,1868,22.15,,,,,,
Taylor,West Virginia,1962,449588,3.18,178,147,26210,17.15,3,284460,41,71,2920,97.42,,,,,,
Upshur,West Virginia,1962,1175875,4.31,405,210,85236,13.80,5,99691,20,101,2069,48.19,,,,,,
Wayne,West Virginia,1962,62153,4.44,66,214,14126,4.40,,,,,,,,,,,,
Webster,West Virginia,1962,772192,4.35,524,174,91246,8.46,,,,,,,,,,,,
Wyoming,West Virginia,1962,10234279,5.43,4083,206,841301,12.16,5,55491,38,71,2689,20.64,,,,,,
"Fayette, Grant, Logan, Pocahontas, Putnam, Tucker, Webster",West Virginia,1962,,,,,,,10,465274,110,177,19484,23.88,,,,,,
"Barbour, Brooke, Greenbrier, Mineral, Preston, Wyoming",West Virginia,1962,,,,,,,,,,,,,12,12,58,94,5469,41.93
"Braxton, Grant, Marshall, Mineral, Ohio, Tucker",West Virginia,1962,4224138,4.42,1143,223,254843,16.58,,,,,,,,,,,,
